cellID	cluster	color
B1_cell593	5	#CC00FFFF
B1_cell594	3	#00FF66FF
B1_cell595	2	#CCFF00FF
B1_cell596	3	#00FF66FF
B1_cell597	5	#CC00FFFF
B1_cell598	1	#FF0000FF
B1_cell599	5	#CC00FFFF
B1_cell600	1	#FF0000FF
B1_cell601	2	#CCFF00FF
B1_cell602	3	#00FF66FF
B1_cell603	4	#0066FFFF
B1_cell604	3	#00FF66FF
B1_cell605	4	#0066FFFF
B1_cell606	3	#00FF66FF
B1_cell607	1	#FF0000FF
B1_cell608	3	#00FF66FF
B1_cell609	2	#CCFF00FF
B1_cell610	2	#CCFF00FF
B1_cell611	5	#CC00FFFF
B1_cell612	5	#CC00FFFF
B1_cell613	2	#CCFF00FF
B1_cell614	1	#FF0000FF
B1_cell615	5	#CC00FFFF
B1_cell616	4	#0066FFFF
B1_cell617	1	#FF0000FF
B1_cell618	3	#00FF66FF
B1_cell619	5	#CC00FFFF
B1_cell620	2	#CCFF00FF
B1_cell621	2	#CCFF00FF
B1_cell622	5	#CC00FFFF
B1_cell623	3	#00FF66FF
B1_cell624	5	#CC00FFFF
B1_cell625	5	#CC00FFFF
B1_cell626	5	#CC00FFFF
B1_cell627	3	#00FF66FF
B1_cell628	3	#00FF66FF
B1_cell629	3	#00FF66FF
B1_cell630	5	#CC00FFFF
B1_cell631	1	#FF0000FF
B1_cell632	5	#CC00FFFF
B1_cell633	5	#CC00FFFF
B1_cell634	3	#00FF66FF
B1_cell635	5	#CC00FFFF
B1_cell636	5	#CC00FFFF
B1_cell637	2	#CCFF00FF
B1_cell638	3	#00FF66FF
B1_cell639	2	#CCFF00FF
B1_cell640	3	#00FF66FF
B1_cell641	3	#00FF66FF
B1_cell642	5	#CC00FFFF
B1_cell643	5	#CC00FFFF
B1_cell644	5	#CC00FFFF
B1_cell645	4	#0066FFFF
